Lead Owner,Saletancy ID,Company,First Name,Last Name,Title,Email,Phone,Direct Phone,Mobile,Website,Industry,Sub Industry,Lead Source,Lead Status,Description,Revenue range,Employee range,Address,City,State,Pincode,Country,Skype ID,Secondry,LinkedIn ID,Notes
Project Manager Name,scrm_3102017085,Radiant Polymers Private Limited,Mr. Nitin  Bahl,Haroldson,Director,Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,A - 4/7 - 8 Site Iv Sahibabad Industrial Area  ,Gloucester,,,,,,https://www.linkedin,
Project Manager Name,scrm_3102017086,RAJASTHAN SPINNING & WEAVING MILL LIMITED,Ashutosh Sharma,Kitzman,Director,3Chau-kitzman@gmail.com,120,120,9651,http://www.bentonjohnbjr.com,,,,,,,,Bhilwara Towers A-12 Sector - 1,Orleans,,,,,,https://www.linkedin,
Project Manager Name,scrm_3102017087,Rao Travel &Travel & Hospitalitys,Mr. Srinivas Rao,Frey,Chief Executive Officer,2Theola-frey@frey.com,120,120,0,http://www.chanayjeffreyaesq.com,,,,,,,,17 Vasant Enclavemarket,Livingston,,,,,,https://www.linkedin,
Project Manager Name,scrm_3102017088,Ritco Travel &Travel & Hospitalitys,Mr. Ashok  Agarwal,Haroldson,Chief Executive Officer,1Cheryl-haroldson@haroldson.org,120,120,7017,http://www.chemeljameslcpa.com,,,,,,,,Su - 20 Bhakaji Cama Bhawan Bhikaji Cama Place ,Gloucester,,,,,,https://www.linkedin,
Project Manager Name,scrm_3102017089,Schneider Electronic India Private Limited,Mr. Olivier  Blum,,CFO and Wholetime Director,,,,,,,,,,,,,Max House 2Nd Floor 1 Dr. Jha Marg Okhla,,,,,,,,
Project Manager Name,scrm_3102017090,GOLDWYN LTD,Mr. JAGPAL SHARMA,,Sr. Manager - IT,,,,,,,,,,,,,"15 & 16, Nsez, Noida, Uttar Pradesh 201305",,,,,,,,
Project Manager Name,scrm_3102017091,DLF GOLF & COUNTRY CLUB,Mr. Karan Bindra,,Managing Director,,,,,,,,,,,,,"DLF City, Phase-V",,,,,,,,
Project Manager Name,scrm_3102017092,National Textile Corpn ,Shri Vivek Plawat,,Chief Financial Officer,,,,,,,,,,,,,"Core 4, Scope Complex 7, Lodi Road",,,,,,,,
Project Manager Name,scrm_3102017093,Advance HydrauTech Private Limited,Mr. Sudhir Gupta,,Director,,,,,,,,,,,,,"Khasra No. 86/ 23, Village Ghevra, Near Hiran Kudna Mor, Mundka Udyog Nagar, Rohtak Road",,,,,,,,
Project Manager Name,scrm_3102017094,Spencer Retail Limited,Mr. Vipin Bhandari,,Chief Operating Officer,,,,,,,,,,,,,"LG 14, Crown Plaza, Sec - 15, Mathura Road",,,,,,,,
Project Manager Name,scrm_3102017095,Tata Ryerson Ltd,Mr. Manish Arora,,Managing Director,,,,,,,,,,,,,"Plot No 33 B, Bata Hardware Road, N I T, N I T",,,,,,,,
Project Manager Name,scrm_3102017096,ASEEM Global,Mr. Narender Kumar,,Managing Director,,,,,,,,,,,,,"5476, South Basti Harphool Singh
Sadar Thana Road, Sadar Bazar",,,,,,,,
Project Manager Name,scrm_3102017097,Cantabil Retail India,Mr. Vijay bansal,,Vice President,,,,,,,,,,,,,"B-47, Lawrence Road, Industrial Area",,,,,,,,
Project Manager Name,scrm_3102017098,Tirupati Inks,Sanjiv Agrawal,,Chief Executive Officer,,,,,,,,,,,,,"D 109-112, GNEPIP, Surajpur Industrial Area, Site – 5, Kasna",,,,,,,,
Project Manager Name,scrm_3102017099,Charoo Apparel Manufacturing Company  ,Mr. Vikram Krishnan,,Managing Director,,,,,,,,,,,,,12 School Lane Wing Choun India Delhi,,,,,,,,
Project Manager Name,scrm_3102017100,Chhabra Trading Company,Mr. AnilChabra,,Ownner,,,,,,,,,,,,,"920, Station Road, Chandni Chowk",,,,,,,,
Project Manager Name,scrm_3102017101,Dayal Regency,Mr. Manoj Gosai,,Vice President,,,,,,,,,,,,,"B-718, Dlf City Phase Iv",,,,,,,,
Project Manager Name,scrm_3102017102,Indian Sugar Exim Corporation ,Mr. Jayanti Bhai Patel,,General Manager - IT,,,,,,,,,,,,,Ansal Plaza 2nd Floor C-block Khel Gaon Marg,,,,,,,,
Project Manager Name,scrm_3102017103,Satvik Impex  ,Mr. Dhruv Chandra,,General Manager - IT,,,,,,,,,,,,,"1 Anand Lok, Khel Gaon, Road",,,,,,,,
Project Manager Name,scrm_3102017104,Asia dwan hotel (delhi),Mr. Mayer Vinay,,Chief of Corporate Communications,,,,,,,,,,,,,"C/2, 2nd Floor, Malviya Nagar, Malviya Nagar  New Delhi",,,,,,,,
Project Manager Name,scrm_3102017105,Southern Hotel,Ms. Sunita Lakka,,General Manager - IT,,,,,,,,,,,,,"18/2, Arya Samaj Road, W.E.A Karol Bagh",,,,,,,,
Project Manager Name,scrm_3102017106,Great Indian Outdoors Private Limited,Mr. Balakrishnan R ,,Managing Director,,,,,,,,,,,,,"Sector 57 ,Phase 3 ,Sushant Lok Near Edan, Gurgaon",,,,,,,,
Project Manager Name,scrm_3102017107,Park Plaza Harinagar,Mr. Abhay Goel,,Proprietor,,,,,,,,,,,,,"Plot No. 1B, Sub District Center",,,,,,,,
Project Manager Name,scrm_3102017108,Residency Resorts Pvt. Ltd. (USI),Mr. Sunil Kapoor,,Managing Director,,,,,,,,,,,,,"Premises, Rao Tula Ram Marg, Delhi Cantt.",,,,,,,,
Project Manager Name,scrm_3102017109,Hi Tours India Private Limited,Mr. Prem Syal,,Chief Executive Officer,,,,,,,,,,,,,"37, Regal Nuilding Parliament Street",,,,,,,,
Project Manager Name,scrm_3102017110,Hotel CityPark,Mr. Ramla Aggrawal,,Managing Director,,,,,,,,,,,,,Pitampura,,,,,,,,
Project Manager Name,scrm_3102017111,Nimitaya Hotel (Fortune hotel Gurgoan),Ms. Samiksha Mahajan,,Managing Director,,,,,,,,,,,,,"Global Arcade, Mehrauli-Gurgaon Road",,,,,,,,
Project Manager Name,scrm_3102017112,JHT hotel,Mr. Amit Khanna,,Chief Executive Officer,,,,,,,,,,,,,S-21 Greater Kailash-I,,,,,,,,
Project Manager Name,scrm_3102017113,Travel &Travel & Hospitalityogy India,Mr. Santosh/Ms. Reena Gupta,,Chief Executive Officer,,,,,,,,,,,,,"212, 2ndFloor, Vardhman  Master Plaza, Plot No. 2 , DDA LSC Ghazipur ",,,,,,,,
Project Manager Name,scrm_3102017114,Airport Residency,Mr. V Khosla,,Director,,,,,,,,,,,,,"Off highway 98  Dwarka Link Rd, Samalkha",,,,,,,,
Project Manager Name,scrm_3102017115,Interglobe Enterprise Limited,Mr. Kapil Bhatia,,Managing Director,,,,,,,,,,,,,Block 2 B,,,,,,,,
Project Manager Name,scrm_3102017116,Magnum Components  ,Mr. Yogesh Batra,,Managing Director,,,,,,,,,,,,,"Plot No 166, Sector - 3, Imt Manesar",,,,,,,,
Project Manager Name,scrm_3102017117,Ram-Nath & Co.  ,Mr. Vivek Lal,,Director,,,,,,,,,,,,,"A 7, Greenpark Main, Near Sartaj Grand",,,,,,,,
Project Manager Name,scrm_3102017118,Overseas Carpets ,Mr. O. P Garg,,Proprietor,,,,,,,,,,,,,"85, Bharat Nagar, New Friends Colony",,,,,,,,
Project Manager Name,scrm_3102017119,Nikkon Air Freight Service Private Limited,Ms. Reena Bhasim,,Director,,,,,,,,,,,,,"117,119,Jaina Tower-Ist, Satyam Cinema, Janakpuri District Centre",,,,,,,,
Project Manager Name,scrm_3102017120,Ruck Sack Tour Private Limited,Ms. Rani Puri,,Proprietor,,,,,,,,,,,,,B 412,,,,,,,,
Project Manager Name,scrm_3102017121,Rao Travel &Travel & Hospitalitys,Mr. Srinivas Rao,,Partner,,,,,,,,,,,,,17 Vasant Enclavemarket,,,,,,,,
Project Manager Name,scrm_3102017122,Services International,Mr. Santosh Lakhotia,,Partner,,,,,,,,,,,,,D - 4 A-block Ring Road Lsc Naraina Vihar,,,,,,,,
Project Manager Name,scrm_3102017123,Lite Bite Foods,Mr. Rohit Aggarwal,,Proprietor,,,,,,,,,,,,,"19, Ashi Building, ,rouse Avenue, ITO",,,,,,,,
Project Manager Name,scrm_3102017124,High Tours,Mr. Prem Sayal,,Managing Director,,,,,,,,,,,,,3334 37 Regal Building Parliament Street,,,,,,,,
Project Manager Name,scrm_3102017125,Kwality Dairy India ,Mr. Ashok Kumar Gupta,,Managing Director,,,,,,,,,,,,,"F - 82, Shivaji Place,Rajouri Garden",,,,,,,,
Project Manager Name,scrm_3102017126,Bhushan Steel ,Mr. Monica Aggrawal,,Managing Director,,,,,,,,,,,,,"23, Site Iv, Sahibabad Industrial Area",,,,,,,,
Project Manager Name,scrm_3102017127,HSIL,Mr. Navin Goenka,,VP of Finance,,,,,,,,,,,,,,,,,,,,,
Project Manager Name,scrm_3102017128,Whirlpool of India ,Mr. Sanjiv Verma,,CFO,,,,,,,,,,,,,,,,,,,,,
Project Manager Name,scrm_3102017129,Orix Auto Infrastructure Services ,Ms. Shuchi Sighvi,,MD,,,,,,,,,,,,,,,,,,,,,
,scrm_3102017130,SRS Group,Mr. Jitendra Kumar Garg,,,,,,,,,,,,,,,,,,,,,,,
,scrm_3102017131,Maharani Of India,Mr. Baldev Raj Bhatia,,,,,,,,,,,,,,,,,,,,,,,
