S_No,Lead Owner,Saletancy ID,Company,First Name,Last Name,Title,Email,Phone,Direct Phone,Mobile,Website,Industry,Sub Industry,Lead Source,Lead Status,Description,Revenue range,Employee range,Address,City,State,Pincode,Country,Skype ID,Secondry,LinkedIn ID,Notes,,
,,scrm_3102017098,Tirupati Inks,Sanjiv Agrawal,,Chief Executive Officer,,,,,,,,,,,,,"D 109-112, GNEPIP, Surajpur Industrial Area, Site – 5, Kasna",,,,,,,,,,
,,scrm_3102017099,Charoo Apparel Manufacturing Company  ,Mr. Vikram Krishnan,,Managing Director,,,,,,,,,,,,,12 School Lane Wing Choun India Delhi,,,,,,,,,,
,,scrm_3102017100,Chhabra Trading Company,Mr. AnilChabra,,Ownner,,,,,,,,,,,,,"920, Station Road, Chandni Chowk",,,,,,,,,,
,,scrm_3102017101,Dayal Regency,Mr. Manoj Gosai,,Vice President,,,,,,,,,,,,,"B-718, Dlf City Phase Iv",,,,,,,,,,
,,scrm_3102017102,Indian Sugar Exim Corporation ,Mr. Jayanti Bhai Patel,,General Manager - IT,,,,,,,,,,,,,Ansal Plaza 2nd Floor C-block Khel Gaon Marg,,,,,,,,,,
,,scrm_3102017103,Satvik Impex  ,Mr. Dhruv Chandra,,General Manager - IT,,,,,,,,,,,,,"1 Anand Lok, Khel Gaon, Road",,,,,,,,,,
,,scrm_3102017104,Asia dwan hotel (delhi),Mr. Mayer Vinay,,Chief of Corporate Communications,,,,,,,,,,,,,"C/2, 2nd Floor, Malviya Nagar, Malviya Nagar  New Delhi",,,,,,,,,,
,,scrm_3102017105,Southern Hotel,Ms. Sunita Lakka,,General Manager - IT,,,,,,,,,,,,,"18/2, Arya Samaj Road, W.E.A Karol Bagh",,,,,,,,,,
,,scrm_3102017106,Great Indian Outdoors Private Limited,Mr. Balakrishnan R ,,Managing Director,,,,,,,,,,,,,"Sector 57 ,Phase 3 ,Sushant Lok Near Edan, Gurgaon",,,,,,,,,,
,,scrm_3102017107,Park Plaza Harinagar,Mr. Abhay Goel,,Proprietor,,,,,,,,,,,,,"Plot No. 1B, Sub District Center",,,,,,,,,,
,,scrm_3102017108,Residency Resorts Pvt. Ltd. (USI),Mr. Sunil Kapoor,,Managing Director,,,,,,,,,,,,,"Premises, Rao Tula Ram Marg, Delhi Cantt.",,,,,,,,,,
,,scrm_3102017109,Hi Tours India Private Limited,Mr. Prem Syal,,Chief Executive Officer,,,,,,,,,,,,,"37, Regal Nuilding Parliament Street",,,,,,,,,,
,,scrm_3102017110,Hotel CityPark,Mr. Ramla Aggrawal,,Managing Director,,,,,,,,,,,,,Pitampura,,,,,,,,,,
,,scrm_3102017111,Nimitaya Hotel (Fortune hotel Gurgoan),Ms. Samiksha Mahajan,,Managing Director,,,,,,,,,,,,,"Global Arcade, Mehrauli-Gurgaon Road",,,,,,,,,,
,,scrm_3102017112,JHT hotel,Mr. Amit Khanna,,Chief Executive Officer,,,,,,,,,,,,,S-21 Greater Kailash-I,,,,,,,,,,
,,scrm_3102017113,Travel &Travel & Hospitalityogy India,Mr. Santosh/Ms. Reena Gupta,,Chief Executive Officer,,,,,,,,,,,,,"212, 2ndFloor, Vardhman  Master Plaza, Plot No. 2 , DDA LSC Ghazipur ",,,,,,,,,,
,,scrm_3102017114,Airport Residency,Mr. V Khosla,,Director,,,,,,,,,,,,,"Off highway 98  Dwarka Link Rd, Samalkha",,,,,,,,,,
,,scrm_3102017115,Interglobe Enterprise Limited,Mr. Kapil Bhatia,,Managing Director,,,,,,,,,,,,,Block 2 B,,,,,,,,,,
,,scrm_3102017116,Magnum Components  ,Mr. Yogesh Batra,,Managing Director,,,,,,,,,,,,,"Plot No 166, Sector - 3, Imt Manesar",,,,,,,,,,
,,scrm_3102017117,Ram-Nath & Co.  ,Mr. Vivek Lal,,Director,,,,,,,,,,,,,"A 7, Greenpark Main, Near Sartaj Grand",,,,,,,,,,
,,scrm_3102017118,Overseas Carpets ,Mr. O. P Garg,,Proprietor,,,,,,,,,,,,,"85, Bharat Nagar, New Friends Colony",,,,,,,,,,
,,scrm_3102017119,Nikkon Air Freight Service Private Limited,Ms. Reena Bhasim,,Director,,,,,,,,,,,,,"117,119,Jaina Tower-Ist, Satyam Cinema, Janakpuri District Centre",,,,,,,,,,
,,scrm_3102017120,Ruck Sack Tour Private Limited,Ms. Rani Puri,,Proprietor,,,,,,,,,,,,,B 412,,,,,,,,,,
,,scrm_3102017121,Rao Travel &Travel & Hospitalitys,Mr. Srinivas Rao,,Partner,,,,,,,,,,,,,17 Vasant Enclavemarket,,,,,,,,,,
,,scrm_3102017122,Services International,Mr. Santosh Lakhotia,,Partner,,,,,,,,,,,,,D - 4 A-block Ring Road Lsc Naraina Vihar,,,,,,,,,,
,,scrm_3102017123,Lite Bite Foods,Mr. Rohit Aggarwal,,Proprietor,,,,,,,,,,,,,"19, Ashi Building, ,rouse Avenue, ITO",,,,,,,,,,
,,scrm_3102017124,High Tours,Mr. Prem Sayal,,Managing Director,,,,,,,,,,,,,3334 37 Regal Building Parliament Street,,,,,,,,,,
,,scrm_3102017125,Kwality Dairy India ,Mr. Ashok Kumar Gupta,,Managing Director,,,,,,,,,,,,,"F - 82, Shivaji Place,Rajouri Garden",,,,,,,,,,
,,scrm_3102017126,Bhushan Steel ,Mr. Monica Aggrawal,,Managing Director,,,,,,,,,,,,,"23, Site Iv, Sahibabad Industrial Area",,,,,,,,,,
,,scrm_3102017127,HSIL,Mr. Navin Goenka,,VP of Finance,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017128,Whirlpool of India ,Mr. Sanjiv Verma,,CFO,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017129,Orix Auto Infrastructure Services ,Ms. Shuchi Sighvi,,MD,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017130,SRS Group,Mr. Jitendra Kumar Garg,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017131,Maharani Of India,Mr. Baldev Raj Bhatia,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017132,,Mr.Ajay..Tyagi,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017133,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017134,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017135,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017136,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017137,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017138,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017139,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017140,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017141,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017142,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017143,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017144,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017145,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017146,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017147,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017148,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017149,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017150,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017151,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017152,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017153,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017154,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017155,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017156,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017157,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017158,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017159,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017160,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017161,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017162,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017163,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017164,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017165,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017166,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017167,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017168,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017169,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017170,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017171,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017172,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017173,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017174,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017175,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017176,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017177,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017178,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017179,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017180,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017181,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017182,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017183,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017184,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017185,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017186,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017187,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017188,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017189,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017190,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017191,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017192,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017193,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017194,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017195,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017196,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017197,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017198,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017199,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017201,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,scrm_3102017202,,,,,,,,,,,,,,,,,,,,,,,,,,,
